,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
0,0.04,2.91,1.0,0.15,25.333000000000002,3.18,0.05,0.17,0.0,0.0,0,0,0
1,0.03,0.0,4.0,0.0,28.833000000000002,15.66,0.0,0.0,0.0,0.75,0,0,1
2,0.17,0.0,1.2,0.0,26.666999999999998,12.11,0.0,0.0,0.0,0.07,0,0,0
3,0.0,0.0,4.38,0.0,30.0,27.77,0.0,0.0,0.0,0.86,0,0,1
4,0.0,0.0,2.58,0.0,28.833000000000002,13.53,0.0,0.0,0.0,0.52,0,0,1
5,0.0,0.0,4.83,0.0,30.0,18.58,0.07,0.0,0.0,0.97,0,0,1
6,0.0,8.0,2.34,0.0,1.5,0.1,0.0,0.0,0.0,0.08,0,0,0
7,0.0,0.0,4.88,0.0,30.0,43.03,0.0,0.0,0.0,0.95,0,0,1
8,0.2,0.0,4.05,0.0,29.333000000000002,14.88,0.0,0.0,0.0,0.82,0,0,1
9,1354.45,0.0,6.07,6.68,30.0,18.98,0.3,0.64,0.37,0.95,-531,0,1
10,0.0,0.0,3.86,0.0,23.5,13.2,0.05,0.0,0.0,0.82,0,0,1
11,11.36,12.5,1.0,0.0,7.832999999999999,1.23,0.0,0.0,0.0,0.0,0,0,0
12,0.0,0.0,1.09,0.0,29.666999999999998,9.03,0.07,0.0,0.0,0.06,0,0,0
13,0.0,0.0,2.0,0.0,30.0,14.79,0.0,0.0,0.0,0.32,0,0,1
14,970.34,0.0,5.0,7.75,30.0,13.69,0.36,0.0,1.0,1.0,-371,0,2
15,3531.53,0.0,4.7,10.17,20.5,8.45,0.55,0.54,0.47,0.77,-744,0,2
17,0.0,0.0,4.1,0.0,30.0,27.9,0.0,0.0,0.0,0.83,0,0,0
18,0.0,22.25,1.0,0.0,8.167,0.5,0.0,0.0,0.0,0.0,0,0,0
19,0.0,2.67,1.2,0.0,20.666999999999998,3.86,0.0,0.0,0.0,0.03,0,0,1
20,0.0,0.0,2.7,0.0,25.333000000000002,13.91,0.0,0.0,0.0,0.41,0,0,0
21,0.0,1.15,1.29,0.0,22.5,2.17,0.0,0.0,0.0,0.06,-145,0,1
22,0.0,0.0,3.93,0.0,22.166999999999998,7.87,0.2,0.0,0.0,0.75,0,0,1
23,0.0,0.0,1.0,0.0,30.0,27.8,0.0,0.0,0.0,0.0,0,0,1
24,0.0,0.0,4.11,0.0,24.0,5.0,0.12,0.0,0.0,0.7,0,0,0
25,0.0,2.0,1.0,0.0,27.666999999999998,6.38,0.0,0.0,0.0,0.0,0,0,1
26,77.84,0.0,4.99,0.49,27.0,8.03,0.06,0.5,0.0,1.0,13,0,2
27,7214.49,0.0,4.4,22.51,30.0,10.89,0.67,0.38,0.61,0.88,3048,0,0
28,0.33,0.0,1.69,0.0,30.0,3.7,0.68,0.0,0.0,0.38,0,0,0
29,0.0,0.0,1.12,0.0,29.166999999999998,5.01,0.79,0.0,0.0,0.03,0,0,1
30,0.0,0.0,4.69,0.0,21.166999999999998,9.47,0.0,0.0,0.0,0.96,0,0,1
31,0.9,0.0,4.99,0.0,21.166999999999998,11.52,0.0,0.0,0.0,1.0,0,0,0
32,0.0,0.0,1.14,0.0,28.333000000000002,5.45,0.0,0.0,0.0,0.03,0,0,0
33,0.0,3.33,1.0,0.0,24.666999999999998,2.1,0.0,0.0,0.0,0.0,0,0,0
34,0.0,0.0,5.06,0.0,12.0,0.77,0.0,0.0,0.0,0.33,0,0,1
35,0.0,0.0,4.78,0.0,30.0,13.32,0.05,0.0,0.0,0.96,0,0,0
36,1.14,0.0,1.0,0.0,28.666999999999998,12.46,0.0,0.0,0.0,0.0,0,0,0
37,0.0,0.0,2.24,0.0,29.333000000000002,7.58,0.65,0.0,0.0,0.33,0,0,0
40,0.0,0.0,2.09,0.0,17.167,8.62,0.24,0.0,0.0,0.3,0,0,1
41,0.0,0.0,3.09,0.0,17.167,11.01,0.0,0.0,0.0,0.68,0,0,0
42,2.59,1.67,1.0,0.0,28.0,6.64,0.0,0.0,0.0,0.0,0,0,0
43,522.94,0.0,4.99,2.92,27.5,5.19,0.36,0.0,0.83,1.0,-7,0,0
44,0.0,0.0,1.06,0.0,27.166999999999998,10.58,0.0,0.0,0.0,0.01,0,0,0
45,0.0,9.6,1.0,0.0,20.333,1.6,0.0,0.0,0.0,0.0,0,0,0
47,0.0,1.33,2.47,0.3,28.0,3.73,0.5,0.17,0.0,0.37,0,0,0
49,0.0,1.33,1.0,0.0,27.833000000000002,3.41,0.0,0.0,0.0,0.0,0,0,1
50,0.0,3.56,1.16,0.0,16.833,4.13,0.0,0.0,0.0,0.06,0,0,0
52,0.0,0.0,1.46,0.0,29.0,7.22,0.0,0.0,0.0,0.11,0,0,1
53,170.9,0.33,1.36,0.78,30.0,5.63,0.12,0.11,0.0,0.11,146,0,0
54,0.02,0.0,5.06,0.0,0.16699999999999998,3.18,0.0,0.0,0.0,0.33,0,0,0
55,126.2,0.0,4.67,0.58,30.0,9.43,0.06,0.0,0.0,0.75,126,0,0
56,0.0,9.0,1.56,0.0,18.0,1.71,0.0,0.0,0.0,0.08,0,0,0
57,15.82,0.0,2.26,0.0,21.166999999999998,7.17,0.0,0.0,0.0,0.5,15,0,0
59,0.0,0.0,5.0,0.0,29.166999999999998,37.47,0.0,0.0,0.0,1.0,0,0,1
60,0.0,8.33,1.0,0.0,12.5,2.04,0.0,0.0,0.0,0.0,0,0,2
61,0.0,0.0,1.6,0.0,27.5,4.51,0.0,0.0,0.0,0.15,0,0,0
62,0.0,18.5,1.99,0.04,13.833,1.28,0.03,0.17,0.0,0.17,0,0,0
63,0.0,0.0,1.0,0.0,13.0,11.83,0.0,0.0,0.0,0.0,0,0,1
64,0.0,1.0,1.3,0.0,12.333,5.04,0.0,0.0,0.0,0.11,0,0,0
65,0.17,0.0,1.21,0.0,30.0,21.82,0.12,0.0,0.0,0.06,0,0,0
66,0.02,0.0,9.82,0.0,12.5,0.5,0.74,0.0,0.0,0.17,0,4,0
67,14295.92,0.0,4.29,57.45,29.166999999999998,6.48,0.9,0.12,0.88,0.86,-516,0,1
68,0.0,9.91,1.0,0.0,19.667,2.13,0.0,0.0,0.0,0.0,0,0,1
69,0.0,0.0,2.75,0.0,17.167,7.61,0.0,0.0,0.0,0.58,0,0,1
70,0.0,0.0,3.96,0.0,27.166999999999998,14.91,0.02,0.0,0.0,0.82,0,0,1
71,0.0,15.5,4.88,0.0,1.5,0.0,0.0,0.0,0.0,0.17,0,0,0
72,0.0,0.0,4.97,0.0,10.833,3.6,0.0,0.0,0.0,0.5,0,0,0
73,0.31,1.7,1.18,0.0,25.166999999999998,3.2,0.28,0.0,0.0,0.06,0,0,0
74,0.0,0.0,5.02,0.0,25.0,4.84,0.0,0.0,0.0,0.67,0,0,0
75,567.81,0.0,5.0,4.73,30.0,12.13,0.34,0.83,0.0,1.0,97,0,0
76,0.08,0.0,4.38,0.0,24.166999999999998,8.98,0.0,0.0,0.0,0.86,0,0,0
77,0.0,0.0,3.94,0.0,19.333,12.84,0.0,0.0,0.0,0.74,0,0,0
78,0.14,1.0,2.0,0.0,25.666999999999998,3.25,0.5,0.0,0.0,0.17,0,1,0
79,0.0,3.91,1.29,0.0,19.167,2.52,0.0,0.0,0.0,0.04,0,0,0
80,0.0,16.0,1.0,0.0,2.333,0.63,0.0,0.0,0.0,0.0,0,0,0
81,0.0,8.6,1.0,0.0,6.332999999999999,2.85,0.0,0.0,0.0,0.0,0,0,0
82,0.0,1.0,1.0,0.0,20.0,6.69,0.0,0.0,0.0,0.0,0,0,0
83,0.32,10.67,1.0,0.0,23.0,1.22,0.0,0.0,0.0,0.0,0,0,1
84,0.75,0.33,2.04,0.0,25.333000000000002,7.79,0.0,0.0,0.0,0.38,0,0,1
85,0.36,0.0,1.33,0.0,22.666999999999998,7.78,0.0,0.0,0.0,0.07,0,0,0
